Regulating Agency,PWS ID,PWS Name,Activity Status,PWS Type,State Asgn ID,WSF Name,WSF Type,Activity Status2,Availability,Latitude,Longitude
DISTRICT 01 - KLAMATH,CA0800526,REDWOOD PARK C.S.D.,A,C,001,WELL 01                             XCLD,WL,A,P,41.575194,-124.066962
DISTRICT 01 - KLAMATH,CA0800526,REDWOOD PARK C.S.D.,A,C,002,WELL 02                             XCLD,WL,A,P,41.575217,-124.066908
DISTRICT 01 - KLAMATH,CA0800526,REDWOOD PARK C.S.D.,A,C,003,WELL 03 - OUTSIDE - REPRESENTATIVE,WL,A,P,41.575224,-124.066872
DISTRICT 01 - KLAMATH,CA0800532,BIG ROCK C.S.D.,A,C,001,SMITH RIVER INFILTRATION GALLERY,WL,A,P,41.789707,-124.068578
DISTRICT 01 - KLAMATH,CA0800542,CRESCENT BEACH MOTEL,A,NC,001,WELL 02 - OLDEST                    XCLD,WL,A,P,41.741166,-124.165116
DISTRICT 01 - KLAMATH,CA0800542,CRESCENT BEACH MOTEL,A,NC,003,NEWEST WELL - REPRESENTATIVE,WL,A,P,41.74129,-124.165293
DISTRICT 01 - KLAMATH,CA0800548,KLAMATH C.S.D.,A,C,001,WELL 02                             XCLD,WL,A,P,41.527765,-124.039111
DISTRICT 01 - KLAMATH,CA0800548,KLAMATH C.S.D.,A,C,002,HWY 101 WELL 01 - REPRESENTS 1 & 2,WL,A,P,41.527687,-124.039034
DISTRICT 01 - KLAMATH,CA0800548,KLAMATH C.S.D.,A,C,003,WELL 03 - GREEN DIAMOND - RAW,WL,A,P,41.524561,-124.026672
DISTRICT 01 - KLAMATH,CA0800552,NORTHCREST TRAILER CITY,A,C,001,OLD SECTION WELL                    XCLD,WL,A,P,41.78095,-124.199349
DISTRICT 01 - KLAMATH,CA0800552,NORTHCREST TRAILER CITY,A,C,002,NEW SECTION WELL - REPRESENTS OLD & NEW,WL,A,P,41.781029,-124.2006
DISTRICT 01 - KLAMATH,CA0800555,GASQUET C.S.D.,A,C,001,NORTH FORK SMITH RIVER,IN,A,P,41.848107,-123.968741
DISTRICT 01 - KLAMATH,CA0800556,HRC C.S.D.,A,C,002,WELL 03 - ALPINE COURT,WL,A,P,41.819881,-124.101042
DISTRICT 01 - KLAMATH,CA0800557,HUNTER VALLEY CSD,A,C,001,WELL 01,WL,A,P,41.57796,-124.04478
DISTRICT 01 - KLAMATH,CA0800603,BUTTE COURT MOBILE HOME PARK,A,C,001,WELL 01,WL,A,P,41.765894,-124.205968
DISTRICT 01 - KLAMATH,CA0800605,WEST PARK PROPERTIES,A,C,001,WELL 02 - MAIN,WL,A,P,41.781063,-124.196232
DISTRICT 01 - KLAMATH,CA0800608,TREES OF MYSTERY,A,NC,003,WELL 01 - RAW,WL,A,P,41.583741,-124.08624
DISTRICT 01 - KLAMATH,CA0800613,CRIVELLI'S WATER SYSTEM,A,NC,002,WELL 01 - RAW,WL,A,P,41.520406,-123.991908
DISTRICT 01 - KLAMATH,CA0800615,KLAMATH CAMPER CORRAL,A,NC,001,WELL 01 - PRIMARY,WL,A,P,41.521712,-124.036588
DISTRICT 01 - KLAMATH,CA0800622,CHINOOK WATER SYSTEM,A,NC,001,WELL 01,WL,A,P,41.543944,-124.047086
DISTRICT 01 - KLAMATH,CA0800627,GOLDEN BEAR RV PARK,A,NC,001,WELL 01,WL,A,P,41.539888,-124.042739
DISTRICT 01 - KLAMATH,CA0800632,KLAMATH RIVER RV PARK,A,NC,001,WELL 01,WL,A,P,41.515995,-124.03739
DISTRICT 01 - KLAMATH,CA0800635,KAMP KLAMATH CORP.,A,NC,002,WELL 02,WL,A,P,41.529755,-124.050502
DISTRICT 01 - KLAMATH,CA0800647,REDWOOD MAINT. & OPER.,A,NTNC,001,WELL 02,WL,A,P,41.870431,-124.150195
DISTRICT 01 - KLAMATH,CA0800649,MARGARET KEATING MAIN. & OPER.,A,NTNC,001,WELL 01,WL,A,P,41.556764,-124.050905
DISTRICT 01 - KLAMATH,CA0800661,CALTRANS-COLLIER TUNNEL RS,A,NC,002,WELL 01 - RAW,WL,A,P,41.968684,-123.747184
DISTRICT 01 - KLAMATH,CA0800700,LAS PALMAS MOBILE HOME PARK,A,C,004,WELL 05 BY FIRE TANK - REPRESENTATIVE,WL,A,P,41.776959,-124.19593
DISTRICT 01 - KLAMATH,CA0800700,LAS PALMAS MOBILE HOME PARK,A,C,005,WELL 04 - LIFT STATION - RAW        XCLD,WL,A,P,41.778116,-124.195581
DISTRICT 01 - KLAMATH,CA0800800,PINE GROVE TRAILER PARK,A,C,001,WELL 01,WL,A,P,41.785547,-124.198677
DISTRICT 01 - KLAMATH,CA0800825,JED SMITH HOMEOWNERS ASSN.,A,C,001,TREATMENT HOUSE WELL 1-RAW REPRESENTATIV,WL,A,P,41.839317,-124.107073
DISTRICT 01 - KLAMATH,CA0800825,JED SMITH HOMEOWNERS ASSN.,A,C,002,WELL 02 - INSIDE WELL               XCLD,WL,A,P,41.840226,-124.108238
DISTRICT 01 - KLAMATH,CA0800850,SEA WEST RESTAURANT,A,NC,002,WELL 01 - RAW,WL,A,P,41.864627,-124.150466
DISTRICT 01 - KLAMATH,CA0800861,RESERVATION RANCH,A,C,001,WELL,WL,A,P,41.921775,-124.162828
DISTRICT 01 - KLAMATH,CA0810001,CITY OF CRESCENT CITY,A,C,001,SMITH RIVER - RANNEY WELL,WL,A,P,41.869901,-124.123842
DISTRICT 01 - KLAMATH,CA0810002,SMITH RIVER C.S.D.,A,C,001,WELL 01                             XCLD,WL,A,P,41.922963,-124.145307
DISTRICT 01 - KLAMATH,CA0810002,SMITH RIVER C.S.D.,A,C,002,WELL 02,WL,A,P,41.923154,-124.145333
DISTRICT 01 - KLAMATH,CA0810002,SMITH RIVER C.S.D.,A,C,003,WELL 03                             XCLD,WL,A,P,41.923061,-124.145323
DISTRICT 01 - KLAMATH,CA0810002,SMITH RIVER C.S.D.,A,C,004,WELL 04                             XCLD,WL,A,P,41.923092,-124.145187
DISTRICT 01 - KLAMATH,CA0810300,DEL NORTE COAST STATE PARK,A,NC,001,MILL CREEK CG - INFILTRATION GALLERY,IN,A,S,41.695709,-124.093391
DISTRICT 01 - KLAMATH,CA0810303,JEDEDIAH SMITH STATE PARK,A,NC,002,CHLORINE SHACK WELL,WL,A,P,41.799444,-121.085278
DISTRICT 01 - KLAMATH,CA0810500,LAGOON CREEK-REDWOOD NP,A,NC,001,LAGOON CREEK WELL,WL,A,P,41.594226,-124.098909
DISTRICT 01 - KLAMATH,CA0810800,CALFIRE-ALDER CONSERVATION CAMP,A,NTNC,001,BASEBALL FIELD WELL - STANDBY,WL,A,E,41.498605,-124.059811
DISTRICT 01 - KLAMATH,CA0810800,CALFIRE-ALDER CONSERVATION CAMP,A,NTNC,003,RIVER WELL - RAW,WL,A,P,41.511576,-124.035649
DISTRICT 01 - KLAMATH,CA1200500,SYLVAN HARBOR TRAILER PARK,A,NC,002,WELL - RAW,WL,A,P,41.074959,-124.142373
DISTRICT 01 - KLAMATH,CA1200501,ALDERPOINT COUNTY WATER,A,C,001,EEL RIVER - UNTREATED,IN,A,P,40.166332,-123.600861
DISTRICT 01 - KLAMATH,CA1200509,HEARTWOOD INSTITUTE,A,NC,001,WELL 01 - RAW,WL,A,P,40.04757,-123.569645
DISTRICT 01 - KLAMATH,CA1200509,HEARTWOOD INSTITUTE,A,NC,006,WELL 2007  AIRSTRIP - RAW,WL,A,P,40.050916,-123.571233
DISTRICT 01 - KLAMATH,CA1200518,RIVERSIDE CSD,A,C,002,WELL 01--XCLD,WL,A,P,40.576186,-124.2808
DISTRICT 01 - KLAMATH,CA1200518,RIVERSIDE CSD,A,C,003,WELLS 01 AND 02 COMBINED-RAW,WL,A,P,40.576244,-124.281628
DISTRICT 01 - KLAMATH,CA1200518,RIVERSIDE CSD,A,C,004,WELL 02 - RAW                       XCLD,WL,A,P,40.576181,-124.281669
DISTRICT 01 - KLAMATH,CA1200518,RIVERSIDE CSD,A,C,006,WELL 06 - RAW,WL,A,P,40.580956,-124.281319
DISTRICT 01 - KLAMATH,CA1200522,WHITETHORN ELEMENTARY SCHOOL,A,NTNC,003,WELL-1,WL,A,P,,
DISTRICT 01 - KLAMATH,CA1200538,MYERS FLAT M.W.S. INC.,A,C,001,WELL 01 - RAW,WL,A,E,40.262205,-123.877574
DISTRICT 01 - KLAMATH,CA1200538,MYERS FLAT M.W.S. INC.,A,C,003,WELL 02 - RAW,WL,A,P,40.262941,-123.871611
DISTRICT 01 - KLAMATH,CA1200541,PHILLIPSVILLE C.S.D.,A,C,007,WELL-2017-RAW,WL,A,P,40.213897,-123.788655
DISTRICT 01 - KLAMATH,CA1200544,REDCREST WATER WORKS,A,C,002,CHADD CREEK - RAW,IN,A,P,40.389372,-123.953698
DISTRICT 01 - KLAMATH,CA1200546,CASTERLIN SCHOOL,A,NTNC,002,WELL - RAW,WL,A,P,40.241519,-123.623477
DISTRICT 01 - KLAMATH,CA1200547,MILL CREEK M.W.C.,A,C,001,WELL 01 - RAW,WL,A,P,40.574335,-124.100058
DISTRICT 01 - KLAMATH,CA1200547,MILL CREEK M.W.C.,A,C,002,WELL 02 - RAW - BACKUP - STANDBY    XCLD,WL,A,E,40.575961,-124.100082
DISTRICT 01 - KLAMATH,CA1200553,WEOTT C.S.D.,A,C,001,A LINE - MILL CR RAW,IN,A,P,40.30899,-123.934692
DISTRICT 01 - KLAMATH,CA1200553,WEOTT C.S.D.,A,C,003,B LINE - UNNAMED CR RAW             XCLD,IN,A,P,40.317627,-123.943459
DISTRICT 01 - KLAMATH,CA1200566,ORLEANS MUTUAL WATER CO.,A,C,001,CRAWFORD CREEK - RAW,IN,A,P,41.30225,-123.567123
DISTRICT 01 - KLAMATH,CA1200579,M.F. MITCHELL & COMPANY,A,NTNC,002,WELL 2003,WL,A,P,40.541072,-124.061541
DISTRICT 01 - KLAMATH,CA1200587,BRICELAND C.S.D.,A,C,002,SPRING/CREEK - RAW,IN,A,P,40.126499,-123.901621
DISTRICT 01 - KLAMATH,CA1200588,SEAWOOD ESTATES MUTUAL WATER COMPANY,A,C,008,PARVIN CREEK - RAW,IN,A,P,41.097561,-124.149272
DISTRICT 01 - KLAMATH,CA1200588,SEAWOOD ESTATES MUTUAL WATER COMPANY,A,C,009,SAVAGE CREEK - RAW,IN,A,P,41.092386,-124.149216
DISTRICT 01 - KLAMATH,CA1200590,MOONSTONE HEIGHTS MWA,A,C,001,WELL 01,WL,A,P,41.03217,-124.106115
DISTRICT 01 - KLAMATH,CA1200591,BIG LAGOON PARK WATER CO.,A,C,001,PARK WELL - RAW,WL,A,P,41.158788,-124.132309
DISTRICT 01 - KLAMATH,CA1200591,BIG LAGOON PARK WATER CO.,A,C,003,WELL 02 - RAW                       XCLD,WL,A,P,41.159118,-124.132114
DISTRICT 01 - KLAMATH,CA1200592,BIG LAGOON CSD,A,C,001,WELL 1 + WELL 2 (COMBINED) - RAW,WL,A,E,41.155283,-124.132576
DISTRICT 01 - KLAMATH,CA1200592,BIG LAGOON CSD,A,C,003,WELL 3  (2010),WL,A,P,41.155283,-124.132575
